model,region,target,weight
ReichLab-SARIMA2,hhs4,2,0.33464265427743606
Delphi-Stat,hhs4,2,1.7507600081326115e-24
Delphi-EmpiricalBayes1,hhs4,2,5.271490688358446e-53
Delphi-EmpiricalFuture,hhs4,2,6.75851792104621e-212
Delphi-EmpiricalBayes2,hhs4,2,6.514048038821479e-155
ReichLab-KCDE,hhs4,2,0.24634284263236902
LANL-DBM,hhs4,2,6.451872117609107e-69
CU-RHF_SEIRS,hhs4,2,0.01028242028476263
Delphi-EmpiricalTraj,hhs4,2,6.75851792104621e-212
CU-EKF_SEIRS,hhs5,2,0.25413049387460834
CU-EKF_SIRS,hhs5,2,0.1579834100488581
Delphi-DeltaDensity2,hhs5,2,0.05996341467213449
CU-BMA,hhs5,2,3.152895647323688e-28
CU-EAKFC_SEIRS,hhs5,2,1.692579590323078e-05
ReichLab-KDE,hhs5,2,1.3237100088144742e-64
ReichLab-SARIMA1,hhs5,2,7.414097029853165e-08
Delphi-BasisRegression,hhs5,2,0.005082397321553846
Delphi-DeltaDensity1,hhs5,2,0.522823090793233
CU-RHF_SIRS,hhs5,2,2.1382443696209e-16
CU-EAKFC_SIRS,hhs5,2,4.871210577032212e-10
Delphi-Uniform,hhs5,2,2.2133678847323395e-229
ReichLab-SARIMA2,hhs5,2,4.169083881919626e-08
Delphi-Stat,hhs5,2,1.778281929436205e-09
Delphi-EmpiricalBayes1,hhs5,2,1.0018130525294228e-51
Delphi-EmpiricalFuture,hhs5,2,1.2545235092266768e-106
Delphi-EmpiricalBayes2,hhs5,2,4.6934592537478825e-29
ReichLab-KCDE,hhs5,2,6.299078914239224e-10
LANL-DBM,hhs5,2,6.30015266636487e-29
CU-RHF_SEIRS,hhs5,2,1.487665888418613e-07
Delphi-EmpiricalTraj,hhs5,2,1.2545235092266768e-106
CU-EKF_SEIRS,hhs6,2,0.41948857775180665
CU-EKF_SIRS,hhs6,2,0.195872428074094
Delphi-DeltaDensity2,hhs6,2,0.010577083997122448
CU-BMA,hhs6,2,9.394044624770164e-45
CU-EAKFC_SEIRS,hhs6,2,6.643350951816386e-12
ReichLab-KDE,hhs6,2,4.382507364131782e-119
ReichLab-SARIMA1,hhs6,2,8.725377091809092e-58
Delphi-BasisRegression,hhs6,2,9.222460072938297e-12
Delphi-DeltaDensity1,hhs6,2,0.10163226108962513
CU-RHF_SIRS,hhs6,2,6.545352057871889e-07
CU-EAKFC_SIRS,hhs6,2,3.3338482630718308e-12
Delphi-Uniform,hhs6,2,8.498624546833666e-168
ReichLab-SARIMA2,hhs6,2,2.7222198032508762e-52
Delphi-Stat,hhs6,2,1.2549035621442066e-09
Delphi-EmpiricalBayes1,hhs6,2,0.2723962956691162
Delphi-EmpiricalFuture,hhs6,2,7.715976857916508e-97
Delphi-EmpiricalBayes2,hhs6,2,5.721515628163564e-26
ReichLab-KCDE,hhs6,2,4.044815667912748e-22
LANL-DBM,hhs6,2,4.508598956714094e-45
CU-RHF_SEIRS,hhs6,2,3.26976089266297e-05
Delphi-EmpiricalTraj,hhs6,2,7.715976857916508e-97
CU-EKF_SEIRS,hhs7,2,0.05454235321587982
CU-EKF_SIRS,hhs7,2,0.22489815611783265
Delphi-DeltaDensity2,hhs7,2,0.02977608614053152
CU-BMA,hhs7,2,1.184697904784534e-17
CU-EAKFC_SEIRS,hhs7,2,5.290443007209758e-10
ReichLab-KDE,hhs7,2,8.031880436001767e-37
ReichLab-SARIMA1,hhs7,2,4.915276290332246e-11
Delphi-BasisRegression,hhs7,2,2.2752387937814874e-14
Delphi-DeltaDensity1,hhs7,2,0.5700628051724818
CU-RHF_SIRS,hhs7,2,1.0339021078937897e-06
CU-EAKFC_SIRS,hhs7,2,9.099105798971398e-16
Delphi-Uniform,hhs7,2,4.191914346453236e-145
ReichLab-SARIMA2,hhs7,2,2.0958412803957842e-11
Delphi-Stat,hhs7,2,1.1792574486848671e-05
Delphi-EmpiricalBayes1,hhs7,2,5.474851457804525e-07
Delphi-EmpiricalFuture,hhs7,2,1.8822308712056392e-66
Delphi-EmpiricalBayes2,hhs7,2,0.0045980343347244365
